run,action,stage,kind,ms
0,issue,total,total,1871.6
0,issue,onchain_verify,contribution,329.1
0,dispense,receive,plumbing,8.2
0,dispense,pharmacy_verify,contribution,382.8
0,dispense,record,plumbing,561.5
1,issue,total,total,1781.9
1,issue,onchain_verify,contribution,327.4
1,dispense,receive,plumbing,6.5
1,dispense,pharmacy_verify,contribution,400.2
1,dispense,record,plumbing,557.8
2,issue,total,total,1822.5
2,issue,onchain_verify,contribution,328.2
2,dispense,receive,plumbing,5.9
2,dispense,pharmacy_verify,contribution,539.1
2,dispense,record,plumbing,754.2
3,issue,total,total,1879.9
3,issue,onchain_verify,contribution,339.9
3,dispense,receive,plumbing,5.8
3,dispense,pharmacy_verify,contribution,429.4
3,dispense,record,plumbing,573.8
4,issue,total,total,1896.3
4,issue,onchain_verify,contribution,342.8
4,dispense,receive,plumbing,8.8
4,dispense,pharmacy_verify,contribution,445.4
4,dispense,record,plumbing,588.3
5,issue,total,total,2005.9
5,issue,onchain_verify,contribution,365.9
5,dispense,receive,plumbing,5.3
5,dispense,pharmacy_verify,contribution,423.6
5,dispense,record,plumbing,566.9
6,issue,total,total,1816.8
6,issue,onchain_verify,contribution,326.7
6,dispense,receive,plumbing,5.3
6,dispense,pharmacy_verify,contribution,397.0
6,dispense,record,plumbing,545.4
7,issue,total,total,1782.9
7,issue,onchain_verify,contribution,344.8
7,dispense,receive,plumbing,11.9
7,dispense,pharmacy_verify,contribution,394.4
7,dispense,record,plumbing,543.6
8,issue,total,total,2019.1
8,issue,onchain_verify,contribution,373.0
8,dispense,receive,plumbing,18.2
8,dispense,pharmacy_verify,contribution,438.4
8,dispense,record,plumbing,610.4
9,issue,total,total,2033.6
9,issue,onchain_verify,contribution,343.1
9,dispense,receive,plumbing,6.2
9,dispense,pharmacy_verify,contribution,403.7
9,dispense,record,plumbing,534.8
10,issue,total,total,1773.5
10,issue,onchain_verify,contribution,345.9
10,dispense,receive,plumbing,4.3
10,dispense,pharmacy_verify,contribution,396.0
10,dispense,record,plumbing,556.7
11,issue,total,total,1945.6
11,issue,onchain_verify,contribution,329.6
11,dispense,receive,plumbing,4.3
11,dispense,pharmacy_verify,contribution,384.5
11,dispense,record,plumbing,530.7
12,issue,total,total,1867.8
12,issue,onchain_verify,contribution,332.1
12,dispense,receive,plumbing,5.3
12,dispense,pharmacy_verify,contribution,409.7
12,dispense,record,plumbing,531.2
13,issue,total,total,1868.7
13,issue,onchain_verify,contribution,326.9
13,dispense,receive,plumbing,5.6
13,dispense,pharmacy_verify,contribution,384.8
13,dispense,record,plumbing,572.1
14,issue,total,total,1900.6
14,issue,onchain_verify,contribution,342.3
14,dispense,receive,plumbing,6.0
14,dispense,pharmacy_verify,contribution,398.4
14,dispense,record,plumbing,540.1
