op,run,gasUsed
propose,0,79944
vote,0,76987
record,0,90974
propose,1,79944
vote,1,76987
record,1,90962
propose,2,79944
vote,2,76987
record,2,90974
propose,3,79944
vote,3,76987
record,3,90974
propose,4,79944
vote,4,76987
record,4,90974
propose,5,79944
vote,5,76987
record,5,90974
propose,6,79944
vote,6,76987
record,6,90974
propose,7,79944
vote,7,76987
record,7,90974
propose,8,79932
vote,8,76987
record,8,90974
propose,9,79944
vote,9,76987
record,9,90974
propose,10,79944
vote,10,76987
record,10,90974
propose,11,79944
vote,11,76987
record,11,90974
propose,12,79944
vote,12,76987
record,12,90974
propose,13,79944
vote,13,76987
record,13,90974
propose,14,79944
vote,14,76987
record,14,90974
propose,15,79944
vote,15,76987
record,15,90974
propose,16,79932
vote,16,76987
record,16,90974
propose,17,79944
vote,17,76987
record,17,90974
propose,18,79944
vote,18,76987
record,18,90974
propose,19,79944
vote,19,76987
record,19,90962
